loss,cls_loss,reg_loss,created_at,epoch
12083.505859375,12083.505859375,0.0,2020-08-28 09:37:54.330877,
12083.505859375,12083.505859375,0.0,2020-08-28 09:37:58.226930,
12085.208984375,12082.876953125,2.3317928314208984,2020-08-28 09:38:03.157949,
12083.505859375,12083.505859375,0.0,2020-08-28 09:38:08.757985,
12083.505859375,12083.505859375,0.0,2020-08-28 09:38:14.422501,
13029.080078125,13029.080078125,0.0,2020-08-28 09:38:25.289050,
,,,2020-08-28 09:39:12.152870,0.0
